Title,Alternative Title,Description,Language,Creator,Publisher,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,Slug,Access Rights,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Genre,Type,Format,Geometry Type,Suppressed,Child
,"The King plats of the city of Washington in the District of Columbia, 1803.","Shows block outlines, numbers, dimensions, and street widths. Boundaries of pre-existing landholdings and waterfront lots and numbers shown on some sheets.  Accompanied by title sheet, page headed ""Note"" with text of letters as late as 1888, and map index sheet.  Title from accompanying title sheet.  Sheet orientation differs.  Sheets numbered: No. 1, No. II [thru] No. XVI. Dimensions: 66 x 90 centimeters",English,"King, Nicholas, 1771-1812",U.S. Coast and Geodetic Survey Office (Washington),,Real Property Washington (d.c.) Maps|Washington (d.c.) Maps|Maps,1888,,,"Washington, District of Columbia",,https://umedia.lib.umn.edu/item/p16022coll205:416,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/416/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/416,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/416/manifest.json,UMN_ALMA:9954901080001701,p16022coll205:416,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,The metropolitan west side elevated railroad : location of railroad and names of stations in red.,Oriented with north to right.   Shows area from Wellington Ave. to 24th St. and Laramie to the lake. Dimensions: 63 x 50 centimeters,English,Rand McNally and Company.,"Rand, McNally & Co. (Chicago), 1898",,"Railroads, Elevated Illinois Chicago Maps|Maps",1898,,,"Chicago, Illinois",,https://umedia.lib.umn.edu/item/p16022coll205:348,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/348/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/348,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/348/manifest.json,UMN_ALMA:9912647840001701,p16022coll205:348,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Track chart of the World,"Relief shown by hachures and spot heights.
 Originally published on 1 sheet.
 ""No. 923."" Dimensions: 67 x 119 centimeters",English,United States. Hydrographic Office.,United States Hydrographic Office (Washington),,World Maps,1918,,,World,,https://umedia.lib.umn.edu/item/p16022coll230:605,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/605/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/605,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/605/manifest.json,UMN_ALMA:9916220280001701,p16022coll230:605,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"1730 New York, the English Colonial city","Relief shown by hachures.  Shows the footprints of some historic buildings and of Fort George and names them; roads and wharves are also named.  ""The principal points of interest for this period are in red.""  Includes historical notes.  This is one map from the set titled: Early New York. Dimensions: 51 x 33 centimeters",English,"MacCoun, Townsend, 1845-1932","Townsend MacCoun (New York), 1909",,"New York (n.y.) History Colonial Period, Ca. 1600 1775 Maps|Manhattan (New York, n.y.) History Colonial Period, Ca. 1600 1775 Maps|New York (n.y.) Maps|Maps|Physical Maps",1909,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:265,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/265/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/265,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/265/manifest.json,UMN_ALMA:9928691240001701,p16022coll205:265,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"A chart of the coasts of Spain and Portugal, with the Balearic Islands, and part of the coast of Barbary","Depths shown by soundings.   Shows ports, sailing directions, etc.   Also appeared in Faden's [General atlas. London : William Faden, 1811?]. Dimensions: 55 x 73 centimeters",English,"Delarochette, Louis, 1731-1802",Wm. Faden (London),,"Nautical Charts Spain Early Works to 1800|Nautical Charts Portugal Early Works to 1800|Nautical Charts Africa, North Early Works to 1800|Nautical Charts Mediterranean Sea Early Works to 1800|Coasts Spain Maps Early Works to 1800|Coasts Portugal Maps Early Works to 1800|Coasts Africa, North Maps Early Works to 1800|Mediterranean Sea Maps Early Works to 1800|Hand Colored Illustrations|Early Maps|Nautical Charts|Nautical Charts Mediterranean Sea 1780|Nautical Charts Portugal 1780|Nautical Charts Spain 1780|Maps Africa, North 1780|Maps Portugal 1780|Maps Spain 1780|Armorial Bookplates (Provenance)",1780,,,Portugal; Spain,,https://umedia.lib.umn.edu/item/p16022coll230:585,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/585/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/585,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/585/manifest.json,UMN_ALMA:9942214880001701,p16022coll230:585,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"A correct plan of the cities of London [and] Westminster [and] borough of Southwark : including the bills of mortality, with the additional buildings.","Major streets and landmarks identified.   ""Engraved from a new survey for the London Magazine 1761."" Dimensions: 23 x 41 centimeters",English,,,,London (England) Maps Early Works to 1800|Maps,1761,,,United Kingdom,,https://umedia.lib.umn.edu/item/p16022coll205:238,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/238/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/238,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/238/manifest.json,UMN_ALMA:9961955600001701,p16022coll205:238,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A description of the coast & city of Goa.,"Photocopy.   Some relief shown pictorially.   North oriented to the left.   ""The city of Goa & all its dependencies doth justly belong to the crown of England by the mariage [sic] of King Charles the Second with Queen Catherine""--upper right.   ""21""--upper right.   Outside of original margin is image of British Museum rule and ""7-Tab-125."" Dimensions: 51 x 61 centimeters",English,,British Museum? (London?),,Velha Goa (India) Maps|Maps,1900 - 1999?,,,India,,https://umedia.lib.umn.edu/item/p16022coll205:236,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/236/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/236,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/236/manifest.json,UMN_ALMA:9949551790001701,p16022coll205:236,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Alaska (Prince of Wales Island), Copper Mountain and vicinity","Relief shown by contours and spot heights.   ""Surveyed in 1908.""   In lower right corner: ""Alaska sheet no. 540B.""   At center of top margin: Topography.   ""Contour interval 100 feet."" Dimensions: 21 x 18 centimeters",English,"Sargent, R. H.","U.S. Geological Survey (Washington, D.C.)",,Copper Mountain (Alaska) Maps|Prince of Wales Island (Alaska) Maps|Topographic Maps,1909?,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:507,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/507/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/507,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/507/manifest.json,UMN_ALMA:9927566030001701,p16022coll230:507,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"All-round route map excursion routes via Niagara Falls, Toronto, Ottawa, Montreal, Quebec, White Mountains, Portland, Lake Champlain, Lake George, &c.",Scale not given.  Relief shown by hachures.  Covers northeastern Atlantic states and part of Canada. Dimensions: 27 x 26 centimeters,English,,(Montreal?),,Railroads Northeastern States Maps|Railroads Canada Maps|Maps,1870,,,United States; Canada,,https://umedia.lib.umn.edu/item/p16022coll230:524,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/524/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/524,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/524/manifest.json,UMN_ALMA:9962723120001701,p16022coll230:524,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A Map of Old Greenland or Øster Bygd & Wester Bygd agreeable to Egede's late description of Greenland. ; A Map of the Islands of Ferro or Farro according to Jacobson Debes. ; An improved map of Iceland.,"Inset diagram: ""A draught of the whirlpool on the south east of Sumbo Rocks w. the soundings.""  Numbered ""N⁰76.""  Relief shown pictorially.  Map of Greenland has Teneriffe meridian. Dimensions: 33 x 23 centimeters",English,"Bowen, Emanuel, -1767",(London),,Greenland Early Works to 1800 Maps|Iceland Early Works to 1800 Maps|Faroe Islands Early Works to 1800 Maps,1750,,,Greenland; Iceland,,https://umedia.lib.umn.edu/item/p16022coll230:422,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/422/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/422,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/422/manifest.json,UMN_ALMA:9957032940001701,p16022coll230:422,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A map of the United States.,"Relief shown pictorially.   In lower right corner: ""Ralph.""   Prime meridian: Philadelphia. Dimensions: 28 x 36 centimeters",English,,,,United States Maps Early Works to 1800|Early Maps,1795,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:566,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/566/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/566,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/566/manifest.json,UMN_ALMA:9973519615101701,p16022coll230:566,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A Map of the world (on Mercator projection) having special reference to forest regions and the geographical disribution of timber trees,"Includes text, two ancillary maps on Mollwiede's projection and cross section diagram showing vertical growth of mountains of the world.  Contents: Annual isotherms and zones of tree-growth -- Annual rainfall -- Vertical distribution of tree growth on the principal mountains of the world. Dimensions: 66 x 92 centimeters",English,"Davies, J.","W.& A.K. Johnston, Ltd. (Edinburgh)",,Timber Maps|Forests and Forestry Maps|World Maps|Maps,1916,,,World,,https://umedia.lib.umn.edu/item/p16022coll230:441,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/441/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/441,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/441/manifest.json,UMN_ALMA:9935454040001701,p16022coll230:441,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,America,"Boundaries; cities, towns, etc.; forts.  Pictorial relief.  From: A new general atlas / John Thomson. -- Plate no. 52. Dimensions: 43.8 x 49.2 centimeters",English,J. & G. Menzies.,J. Thomson & Co. (Edinburgh),,America Maps|Western Hemisphere Maps|Maps,1827,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:513,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/513/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/513,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/513/manifest.json,UMN_ALMA:9950866820001701,p16022coll230:513,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,America,"Covers North and South America, the Carribean, Greenland, Iceland, and Scotland.  Relief shown by hachures.  Likely extracted from: The London atlas of universal geography, exhibiting the physical & political divisions of the various countries of the world, constructed from original materials / John Arrowsmith. London : Pub'd. by J. Arrowsmith, 1840.  Prime meridian: Greenwich.  Bar scale corrected.  ""39""--Upper right corner. Dimensions: 61 x 49 centimeters",English,"Arrowsmith, John, 1790-1873",J. Arrowsmith (London),,America Maps|Western Hemisphere Maps|Maps,1840,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:486,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/486/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/486,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/486/manifest.json,UMN_ALMA:9950863310001701,p16022coll230:486,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"A new & accurate map of Persia, with the adjacent countries drawn from the most approved modern maps &c, the whole being regulated by astronl. Observations",,English,"Bowen, Emanuel, -1767",,,"Iran Maps Early Works to 1800|Afghanistan Maps Early Works to 1800|Middle East Maps Early Works to 1800|Asia, Central Maps Early Works to 1800|Maps",1747,,,"Iran, Islamic Republic of",,https://umedia.lib.umn.edu/item/p16022coll230:432,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/432/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/432,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/432/manifest.json,UMN_ALMA:9956983500001701,p16022coll230:432,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A new & accurate map of the North Pole : with all the countries hitherto discovered situated near or adjacent to it as well as some others more remote. Drawn from the latest and best authorities and regulated by astronoml. observatns.,,English,"Bowen, Emanuel, -1767",Printed for William Innys and Joseph Richardson ... et al. (London),,,1752,,,,,https://umedia.lib.umn.edu/item/p16022coll230:598,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/598/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/598,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/598/manifest.json,UMN_ALMA:9973941202801701,p16022coll230:598,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A newe mape of Poland,"Relief shown pictorially.   Includes 6 views of cities, coat-of-arms of Silesia, coat-of-arms of Poland, and 8 illustrations showing typical dress of residents of Poland, Silesia, and Danzig.   ""Are to be sold by Thomas Bassett in Fleet Street and Richard Chiswell in St. Pauls Churchyard.""   Text on verso: ""The description of Poland."" Dimensions: 37 x 45 centimeters",English,"Speed, John, 1552?-1629",,,Poland Maps Early Works to 1800|Early Maps,1626,,,Poland,,https://umedia.lib.umn.edu/item/p16022coll230:580,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/580/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/580,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/580/manifest.json,UMN_ALMA:9956451820001701,p16022coll230:580,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"A new map of Illinois : exhibiting the counties, townships, cities, villages, & post offices, the railroads, canals, common roads & all other internal improvements",,English,"Mendenhall, Edward","E. Mendenhall (Cincinnati, OH), 1866",,Illinois Maps|Maps,1866,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:498,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/498/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/498,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/498/manifest.json,UMN_ALMA:9943455270001701,p16022coll230:498,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"A new map of Maryland and Delaware : with their canals, roads & distances.","Relief shown by hachures.  Prime meridian: Washington.  Insets: Baltimore -- Steamboat routes.  ""Entered according to Act of Congress in the year 1846 by H.N. Burroughs, in the Eastern District of Pennsylvania.""  In lower right margin: 15. Dimensions: 25 x 35 centimeters",English,"Mitchell, Samuel Augustus, 1792-1868",S.A. Mitchell (Philadelphia),,Maryland Maps|Delaware Maps|Maps,1846,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:561,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/561/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/561,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/561/manifest.json,UMN_ALMA:9912612920001701,p16022coll230:561,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"A new map of Michigan with its canals, roads & distances","Washington prime meridian.   ""Entered according to Act of Congress, in the year 1850, by Thomas, Cowperthwait & Co., in the clerks Office of the District Court of the Eastern District of Pennsylvania.""   Includes list of steam boat routes with distances.   30. in upper right margin.   Inset: Western part of michigan [ca. 1:3,000,000]. Dimensions: 34 x 27 centimeters",English,"Thomas, Cowperthwait & Co.","Thomas, Cowperthwait & Co. (Philadelphia), 1850",,Michigan Maps|Michigan|Maps|Maps,1850,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:409,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/409/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/409,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/409/manifest.json,UMN_ALMA:9973519737701701,p16022coll230:409,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A new map of North America agreeable to the latest discoveries,,English,"Wilkinson, Robert",R. Wilkinson (London),,North America Maps Early Works to 1800|Maps,1794,,,North America,,https://umedia.lib.umn.edu/item/p16022coll230:537,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/537/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/537,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/537/manifest.json,UMN_ALMA:9955445250001701,p16022coll230:537,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A new map of the state of Iowa.,"(W 97°00ʹ--W 89°07ʹ/N 44°30ʹ--N 39°46ʹ).   Page number in lower right corner: 35.   Differs from other edition (OCLC 78771984): includes Do. proposed from Sergeants Bluff to Clayton County, Do. proposed from St. Mary's to Ottumwa. There may be additional differences. Dimensions: 35 x 43 centimeters",English,"Thomas, Cowperthwait & Co.","Thomas, Cowperthwait & Co. (Philadelphia)",,Iowa Maps|Maps,1850,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:531,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/531/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/531,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/531/manifest.json,UMN_ALMA:9947195820001701,p16022coll230:531,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,An exact mapp of New England and New York,,English,,,,New England Maps|Maps,1881?,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:477,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/477/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/477,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/477/manifest.json,UMN_ALMA:9928730690001701,p16022coll230:477,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A plan of Pondicherry and its environs taken from a French manuscript.,Relief around fort shown pictorially; relief of Red Hill shown with hachures.   Indexed.   North oriented to right.   Map removed from unknown larger volume. Dimensions: 44 x 58 centimeters,English,"André, Peter",Peter André (London),,Pondicherry (India) Maps|Maps,1779,,,India,,https://umedia.lib.umn.edu/item/p16022coll205:277,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/277/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/277,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/277/manifest.json,UMN_ALMA:9926855250001701,p16022coll205:277,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A plan of the cities of London and Westminster with the borough of Southwark,"In ink under title box: ""in the year 1743.""   Some buildings shown pictorially.   ""To face page 33""--upper right, within neat line. Dimensions: 21 x 40 centimeters",English,"Bowen, E.",Publisher not identified (London?),,London (England) Maps|Maps,1743,,,United Kingdom,,https://umedia.lib.umn.edu/item/p16022coll205:310,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/310/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/310,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/310/manifest.json,UMN_ALMA:9962935130001701,p16022coll205:310,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A plan of the city of New York from an actual survey,"Shows wards, streets, and public buildings.  Covers lower Manhattan.  In lower margin: Facsimile of the Bradford map, one-half size of the original.  ""To his excellency John Montgomerie, Esq. Capt. Genl. & Gov. in Chief of his Majestis provinces of New York New Jersey this plan of the city of New York is humbly dedic'd by Your Excellancy's obet & most humble servt, Wm. Bradford.""  From seal at upper right: Col. Robt. Lurting, Mayor. 1728.  Removed from: Andrews, William Loring. James Lyne's survey, or, as it is more commonly known, The Bradford map. New York: Dodd, Mead & company, 1900.  Oriented with north toward the upper right.  Includes index to points of interest. Dimensions: 23 x 28 centimeters",English,"Lyne, James","Dodd, Mead & Company (New York)",,"Manhattan (New York, n.y.) Maps Early Works to 1800 Facsimiles|New York (n.y.) Maps Early Works to 1800 Facsimiles|Maps",1900,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:343,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/343/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/343,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/343/manifest.json,UMN_ALMA:9928927650001701,p16022coll205:343,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
