Title,Alternative Title,Description,Language,Creator,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
Mapa del alto Yurua y alto Purus que comprende las ultimas exploraciones y estudios verificados desde 1900 hasta 1906,Mapa del alto Yurua y alto Purus que comprende las ultimas exploraciones y estudios verificados desde 1900 hasta 1906,,Spanish,"Portillo, Pedro",,,1907,,,South America,,https://umedia.lib.umn.edu/item/p16022coll230:2792,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2792/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2792,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2792/manifest.json,UMN_ALMA:9920726080001701,p16022coll230:2792,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mapa de la navegacion de Alto Marañón,Mapa de la navegacion de Alto Marañón,,Spanish,"Vallejos Z., Camilo",,,1913,,,South America,,https://umedia.lib.umn.edu/item/p16022coll230:2786,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2786/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2786,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2786/manifest.json,UMN_ALMA:9920727130001701,p16022coll230:2786,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mapa de la provincia de Pacasmayo,Mapa de la provincia de Pacasmayo,,Spanish,"Wood, J. Herbert",,,1902,,,Peru,,https://umedia.lib.umn.edu/item/p16022coll230:2824,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2824/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2824,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2824/manifest.json,UMN_ALMA:9948427590001701,p16022coll230:2824,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mapa de la Republica del Paraguay,Mapa de la Republica del Paraguay,,Spanish,"Criado, M. Alonso",,,1907?,,,Paraguay,"-62.75,-54.0,-17.0,-27.5833",https://umedia.lib.umn.edu/item/p16022coll230:2766,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2766/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2766,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2766/manifest.json,UMN_ALMA:9973951768001701,p16022coll230:2766,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Mapa del distrito norte de la Baja California, Mexico","Mapa del distrito norte de la Baja California, Mexico",,Spanish,"Goldbaum, David, 1858-1930",,,1914,,,Baja California,"-117.0,-113.0,33.0,28.0",https://umedia.lib.umn.edu/item/p16022coll230:2817,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2817/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2817,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2817/manifest.json,UMN_ALMA:9916202480001701,p16022coll230:2817,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mapa histórico geogräfico de los valles de Paucartambo,Mapa histórico geogräfico de los valles de Paucartambo,,Spanish,Sociedad Geogräfica de Lima,,,1904,,,Peru,"-72.0,-71.3333,-12.5,-13.3333",https://umedia.lib.umn.edu/item/p16022coll230:2797,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2797/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2797,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2797/manifest.json,UMN_ALMA:9973950076901701,p16022coll230:2797,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mapa que comprende las últimas exploraciones y estudios verificados desde 1900 hasta 1906,Mapa que comprende las últimas exploraciones y estudios verificados desde 1900 hasta 1906,,Spanish,Sociedad Geogräfica de Lima,,,1906,,,South America,,https://umedia.lib.umn.edu/item/p16022coll230:2730,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2730/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2730,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2730/manifest.json,UMN_ALMA:9920723650001701,p16022coll230:2730,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mapa que comprende los estudios de los ríos Tigre - Pastaza y Morona,Mapa que comprende los estudios de los ríos Tigre - Pastaza y Morona,,Spanish,"Vallejos Zuñe, Camilo",,,1907,,,Peru,"-78.0,-74.0,-2.0,-6.0",https://umedia.lib.umn.edu/item/p16022coll230:2747,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2747/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2747,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2747/manifest.json,UMN_ALMA:9973950076601701,p16022coll230:2747,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of Bolivia : showing forest and agricultural areas, and mineral localities","Map of Bolivia : showing forest and agricultural areas, and mineral localities",,English,,,Forest Reserves|Mines and Mineral Resources,1912,,,Bolivia,"-72.0,-57.0,-9.0,-25.0",https://umedia.lib.umn.edu/item/p16022coll230:2815,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2815/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2815,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2815/manifest.json,UMN_ALMA:9973951809601701,p16022coll230:2815,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of British Guiana : from the latest surveys of Schomburgk, Owen, Hilhouse, & others ; & those of Hancock, Van-Cooten, Bouchenroeder, & Bercheyck ...","Map of British Guiana : from the latest surveys of Schomburgk, Owen, Hilhouse, & others ; & those of Hancock, Van-Cooten, Bouchenroeder, & Bercheyck ...",,English,"Hadfield, J. (Joseph)",,,1839,,,French Guiana,"-61.1667,-55.9167,7.8333,2.5833",https://umedia.lib.umn.edu/item/p16022coll230:2731,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2731/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2731,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2731/manifest.json,UMN_ALMA:9938277230001701,p16022coll230:2731,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of Central America, Cuba, Porto Rico, and the islands of the Caribbean Sea","Map of Central America, Cuba, Porto Rico, and the islands of the Caribbean Sea",,English,American Bank Note Company,,,1913,,,North America; South America,"-100.0,-60.0,30.0,5.0",https://umedia.lib.umn.edu/item/p16022coll230:2811,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2811/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2811,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2811/manifest.json,UMN_ALMA:9973936387201701,p16022coll230:2811,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of Central America, shewing the different lines of Atlantic & Pacific communication","Map of Central America, shewing the different lines of Atlantic & Pacific communication",,English,"Wyld, James, 1812-1887",,,1850,,,North America; South America,"-97.25,-76.0,19.0,4.5",https://umedia.lib.umn.edu/item/p16022coll230:2760,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2760/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2760,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2760/manifest.json,UMN_ALMA:9940882340001701,p16022coll230:2760,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of Cuba,Map of Cuba,,English,"Essex, Frank B",,,1911,,,Cuba,"-85.0,-74.0,23.5,19.5",https://umedia.lib.umn.edu/item/p16022coll230:2787,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2787/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2787,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2787/manifest.json,UMN_ALMA:9919348810001701,p16022coll230:2787,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of Cuba : its provinces, railroads, cities, towns, harbors, bays, etc. also southern Glorida and neighboring islands of the West Indies","Map of Cuba : its provinces, railroads, cities, towns, harbors, bays, etc. also southern Glorida and neighboring islands of the West Indies",,English,Crowell Publishing Company,,,1897,,,Cuba,"-85.0,-74.0,26.0,20.0",https://umedia.lib.umn.edu/item/p16022coll230:2825,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2825/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2825,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2825/manifest.json,UMN_ALMA:9960187390001701,p16022coll230:2825,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of Mexico,Map of Mexico,,English,Matthews-Northrup Works,,,1916,,,Mexico,"-118.0,-86.0,32.0,14.0",https://umedia.lib.umn.edu/item/p16022coll230:2808,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2808/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2808,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2808/manifest.json,UMN_ALMA:9922112030001701,p16022coll230:2808,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of Mexico : including Yucatan & Upper California, exhibiting the chief cities and towns, the principal travelling routes &c","Map of Mexico : including Yucatan & Upper California, exhibiting the chief cities and towns, the principal travelling routes &c",,English,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868",,"Monterrey, Battle Of, Monterrey, Mexico, 1846",1846,,,Mexico,"-125.0,-86.0,42.0,15.0",https://umedia.lib.umn.edu/item/p16022coll230:2744,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2744/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2744,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2744/manifest.json,UMN_ALMA:9937771100001701,p16022coll230:2744,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of New Granada, Venezuela, and Guiana ; Map of Peru, and Equador ; Map of the Argentine Confederation","Map of New Granada, Venezuela, and Guiana ; Map of Peru, and Equador ; Map of the Argentine Confederation",,English,,,,1867?,,,Venezuela (Bolivarian Republic); French Guiana; Peru; Ecuador; Argentina,,https://umedia.lib.umn.edu/item/p16022coll230:2802,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2802/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2802,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2802/manifest.json,UMN_ALMA:9914245390001701,p16022coll230:2802,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of South America,Map of South America,,English,National Geographic Society (U.S.),,Atmospheric Temperature,1921,,,South America,,https://umedia.lib.umn.edu/item/p16022coll230:2727,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2727/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2727,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2727/manifest.json,UMN_ALMA:9919061740001701,p16022coll230:2727,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of the Argentine Republic,Map of the Argentine Republic,,English,Argentina. Oficina Meteorolo?gica,,,1909,,,Argentina,"-73.55,-53.6333,-21.7667,-55.1167",https://umedia.lib.umn.edu/item/p16022coll230:2806,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2806/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2806,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2806/manifest.json,UMN_ALMA:9975281904201701,p16022coll230:2806,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of the Argentine Republic : distribution of meteorological stations,Map of the Argentine Republic : distribution of meteorological stations,,English,,,Meteorological Stations,1909,,,Argentina,"-75.0,-50.0,-21.0,-56.0",https://umedia.lib.umn.edu/item/p16022coll230:2813,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2813/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2813,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2813/manifest.json,UMN_ALMA:9973723236301701,p16022coll230:2813,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of the railways of the Argentine Republic,Map of the railways of the Argentine Republic,,Spanish,,,Railroads,1909,,,Argentina,"-70.0,-56.0,-22.0,-42.0",https://umedia.lib.umn.edu/item/p16022coll230:2803,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2803/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2803,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2803/manifest.json,UMN_ALMA:9973951801101701,p16022coll230:2803,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of the Territory of Hawaii,Map of the Territory of Hawaii,,English,"Berthrong, I. P",,,1901,,,Hawaii,,https://umedia.lib.umn.edu/item/p16022coll230:2734,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2734/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2734,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2734/manifest.json,UMN_ALMA:9915364350001701,p16022coll230:2734,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of the valley of the Amazon : to accompany Lt. Herndon's report,Map of the valley of the Amazon : to accompany Lt. Herndon's report,,English,"Elliott, H. C",,,1853,,,South America,"-82.0,-46.0,5.0,-20.0",https://umedia.lib.umn.edu/item/p16022coll230:2752,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2752/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2752,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2752/manifest.json,UMN_ALMA:9918660500001701,p16022coll230:2752,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mappa topographico do Valle do Rio Madeira entre as Cachoeiras do Guajarä-Merim e S. Antonio,Mappa topographico do Valle do Rio Madeira entre as Cachoeiras do Guajarä-Merim e S. Antonio,,Portuguese,"Keller, José",,Ferrovia Madeira Mamoré|Railroads,1869,,,South America,"-65.45,-63.9,-8.8,-10.85",https://umedia.lib.umn.edu/item/p16022coll230:2735,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2735/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2735,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2735/manifest.json,UMN_ALMA:9947601590001701,p16022coll230:2735,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map showing location of Panama Canal : as recommended by the Isthmian Canal Commission of 1899-1902,Map showing location of Panama Canal : as recommended by the Isthmian Canal Commission of 1899-1902,,English,National Geographic Society (U.S.),,,1905,,,Panama,"-80.1667,-79.3333,9.5,8.8333",https://umedia.lib.umn.edu/item/p16022coll230:2799,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2799/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2799,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2799/manifest.json,UMN_ALMA:9961191650001701,p16022coll230:2799,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mexico,Mexico,,English,,,,1856?,,,Mexico,,https://umedia.lib.umn.edu/item/p16022coll230:2777,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2777/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2777,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2777/manifest.json,UMN_ALMA:9973955582201701,p16022coll230:2777,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mexico : railroads,Mexico : railroads,,English,Rand McNally and Company,,Railroads,1909,,,Mexico,"-117.0,-86.0,34.0,14.0",https://umedia.lib.umn.edu/item/p16022coll230:2821,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2821/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2821,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2821/manifest.json,UMN_ALMA:9929824200001701,p16022coll230:2821,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Mexico, showing the track of the Mexican Central railway and connections","Mexico, showing the track of the Mexican Central railway and connections",,English,,,Railroads,1884,,,Mexico,,https://umedia.lib.umn.edu/item/p16022coll230:2827,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2827/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2827,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2827/manifest.json,UMN_ALMA:9948338210001701,p16022coll230:2827,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Military map, island of Puerto Rico, 1898","Military map, island of Puerto Rico, 1898",,English,"Morey, W",,,1898,,,Puerto Rico,,https://umedia.lib.umn.edu/item/p16022coll230:2785,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2785/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2785,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2785/manifest.json,UMN_ALMA:9951796110001701,p16022coll230:2785,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
N.8. Croquis general de los rios estudiados por la Comision Exploradora del Istmo Fitz-Carrald,N.8. Croquis general de los rios estudiados por la Comision Exploradora del Istmo Fitz-Carrald,,Spanish,"Torres, Juan M",,Rivers,1902,,,South America,,https://umedia.lib.umn.edu/item/p16022coll230:2737,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2737/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2737,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2737/manifest.json,UMN_ALMA:9973950799501701,p16022coll230:2737,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
New topographical map showing the railway centre of the Republic of Mexico,New topographical map showing the railway centre of the Republic of Mexico,,English,"Glu?mer, Bodo von",,Railroads,1883,,,Mexico,,https://umedia.lib.umn.edu/item/p16022coll230:2783,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2783/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2783,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2783/manifest.json,UMN_ALMA:9940897800001701,p16022coll230:2783,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Nicaragua Canal : bird's eye view of the interoceanic canal of Nicaragua and Costa Rica,Nicaragua Canal : bird's eye view of the interoceanic canal of Nicaragua and Costa Rica,,English,Nicaragua Canal Construction Company,,Maps|1890?,1890?,,,Nicaragua,,https://umedia.lib.umn.edu/item/p16022coll230:2742,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2742/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2742,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2742/manifest.json,UMN_ALMA:9912107140001701,p16022coll230:2742,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
